subjID,itrial,CasesName,filename,Lesion,MouseScreenX,MouseScreenY,ImageMouseX_X_521_,ImageMouseY,NotOnTissue,Accuracy,OldTrialType,NewTrialType
23,53,n307,53_n307_N.jpg,0,1196,752,675,752,0,0,FA,FA
23,54,n297,54_n297_N.jpg,0,963,772,442,772,0,0,FA,FA
23,55,c174,55_c174_C.jpg,1,1318,567,797,567,0,1,HIT,HIT
23,56,c14,56_c14_C.jpg,1,1138,523,617,523,0,1,HIT,MISS&FA
23,57,c306,57_c306_C.jpg,1,1359,333,838,333,0,1,HIT,HIT
23,58,n385,58_n385_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
23,59,n284,59_n284_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
23,60,c176,60_c176_C.jpg,1,1006,861,485,861,0,1,HIT,HIT
23,61,c227,61_c227_C.jpg,1,873,593,352,593,0,1,HIT,HIT
23,62,n271,62_n271_N.jpg,0,1124,373,603,373,0,0,FA,FA
23,63,c372,63_c372_C.jpg,1,NaN,NaN,NaN,NaN,0,0,HIT,MISS
23,64,c46,64_c46_C.jpg,1,990,525,469,525,0,1,HIT,HIT
23,65,c313,65_c313_C.jpg,1,1045,606,524,606,0,1,HIT,HIT
23,66,n374,66_n374_N.jpg,0,934,929,413,929,0,0,FA,FA
23,67,c278,67_c278_C.jpg,1,1220,878,699,878,0,1,HIT,HIT
23,68,c251,68_c251_C.jpg,1,855,753,334,753,0,1,HIT,MISS&FA
23,69,n82,69_n82_N.jpg,0,1172,567,651,567,0,0,FA,FA
23,70,c336,70_c336_C.jpg,1,1311,622,790,622,0,1,HIT,HIT
23,71,c5,71_c5_C.jpg,1,1176,618,655,618,0,1,HIT,MISS&FA
23,72,n352,72_n352_N.jpg,0,1098,613,577,613,0,0,FA,FA
23,73,c149,73_c149_C.jpg,1,1239,398,718,398,0,1,HIT,HIT
23,74,n260,74_n260_N.jpg,0,919,706,398,706,0,0,FA,FA
23,75,c242,75_c242_C.jpg,1,1181,504,660,504,0,1,HIT,MISS&FA
23,76,c141,76_c141_C.jpg,1,1281,916,760,916,0,1,HIT,HIT
23,77,c352,77_c352_C.jpg,1,1237,635,716,635,0,1,HIT,HIT
23,78,c69,78_c69_C.jpg,1,1040,652,519,652,0,1,HIT,MISS&FA
23,79,c228,79_c228_C.jpg,1,1109,720,588,720,0,1,HIT,HIT
23,80,c101,80_c101_C.jpg,1,1170,566,649,566,0,1,HIT,HIT
